>>> [JAVA] INICIANDO: SIMPLEX -> modelo10.exe
[PYTHON]: DEBUG: Executavel encontrado: modelo10.exe
[PYTHON]: DEBUG: Config: simplex, Dim: 9
[PYTHON]: DEBUG: Iniciando loop principal...
[PYTHON]: {"iteracao": 1, "simplex_best": 452.96}
[PYTHON]: {"iteracao": 2, "simplex_best": 452.96}
[PYTHON]: {"iteracao": 3, "simplex_best": 452.96}
[PYTHON]: {"iteracao": 4, "simplex_best": 452.96}
[PYTHON]: {"iteracao": 5, "simplex_best": 474.08}
[PYTHON]: {"iteracao": 6, "simplex_best": 534.53}
[PYTHON]: {"iteracao": 7, "simplex_best": 534.53}
[PYTHON]: {"iteracao": 8, "simplex_best": 534.53}
[PYTHON]: {"iteracao": 9, "simplex_best": 555.91}
[PYTHON]: {"iteracao": 10, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 11, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 12, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 13, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 14, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 15, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 16, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 17, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 18, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 19, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 20, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 21, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 22, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 23, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 24, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 25, "simplex_best": 637.85}
[PYTHON]: {"iteracao": 26, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 27, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 28, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 29, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 30, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 31, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 32, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 33, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 34, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 35, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 36, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 37, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 38, "simplex_best": 676.13}
[PYTHON]: {"iteracao": 39, "simplex_best": 680.63}
[PYTHON]: {"iteracao": 40, "simplex_best": 680.63}
[PYTHON]: {"iteracao": 41, "simplex_best": 680.63}
[PYTHON]: {"iteracao": 42, "simplex_best": 680.63}
[PYTHON]: {"iteracao": 43, "simplex_best": 686.04}
[PYTHON]: {"iteracao": 44, "simplex_best": 686.04}
[PYTHON]: {"iteracao": 45, "simplex_best": 686.91}
[PYTHON]: {"iteracao": 46, "simplex_best": 686.91}
[PYTHON]: {"iteracao": 47, "simplex_best": 686.91}
[PYTHON]: {"iteracao": 48, "simplex_best": 686.91}
[PYTHON]: {"iteracao": 49, "simplex_best": 686.91}
[PYTHON]: {"iteracao": 50, "simplex_best": 686.91}
[PYTHON]: DEBUG: Finalizado com sucesso.
